threshold:  0.121789574 ,cutoff:  0.734183076009 ,fpr:  0.00293356341674 ,tpr:  0.26582278481
threshold:  0.121788859 ,cutoff:  0.729963700604 ,fpr:  0.00293356341674 ,tpr:  0.270042194093
threshold:  0.121774948 ,cutoff:  0.725744325592 ,fpr:  0.00293356341674 ,tpr:  0.274261603376
threshold:  0.12126896 ,cutoff:  0.72574504363 ,fpr:  0.00310612597066 ,tpr:  0.274261603376
threshold:  0.121208507 ,cutoff:  0.725745802698 ,fpr:  0.00327868852459 ,tpr:  0.274261603376
threshold:  0.12109138 ,cutoff:  0.725746602795 ,fpr:  0.00345125107852 ,tpr:  0.274261603376
threshold:  0.120586078 ,cutoff:  0.721527241501 ,fpr:  0.00345125107852 ,tpr:  0.278481012658
threshold:  0.120567056 ,cutoff:  0.717307880772 ,fpr:  0.00345125107852 ,tpr:  0.282700421941
threshold:  0.120307489 ,cutoff:  0.713088520617 ,fpr:  0.00345125107852 ,tpr:  0.286919831224
threshold:  0.119746259 ,cutoff:  0.708869161047 ,fpr:  0.00345125107852 ,tpr:  0.291139240506
threshold:  0.119506246 ,cutoff:  0.704649802073 ,fpr:  0.00345125107852 ,tpr:  0.295358649789
threshold:  0.119474569 ,cutoff:  0.700430443704 ,fpr:  0.00345125107852 ,tpr:  0.299578059072
threshold:  0.119284011 ,cutoff:  0.696211085953 ,fpr:  0.00345125107852 ,tpr:  0.303797468354
threshold:  0.11894174 ,cutoff:  0.69199172883 ,fpr:  0.00345125107852 ,tpr:  0.308016877637
threshold:  0.118893363 ,cutoff:  0.687772372347 ,fpr:  0.00345125107852 ,tpr:  0.31223628692
threshold:  0.118423715 ,cutoff:  0.687773259916 ,fpr:  0.00362381363244 ,tpr:  0.31223628692
threshold:  0.118071541 ,cutoff:  0.687774190779 ,fpr:  0.00379637618637 ,tpr:  0.31223628692
threshold:  0.117803487 ,cutoff:  0.683554846173 ,fpr:  0.00379637618637 ,tpr:  0.316455696203
threshold:  0.116887614 ,cutoff:  0.67933550237 ,fpr:  0.00379637618637 ,tpr:  0.320675105485
threshold:  0.116342194 ,cutoff:  0.675116159385 ,fpr:  0.00379637618637 ,tpr:  0.324894514768
threshold:  0.116338758 ,cutoff:  0.670896817234 ,fpr:  0.00379637618637 ,tpr:  0.329113924051
threshold:  0.115811647 ,cutoff:  0.666677475933 ,fpr:  0.00379637618637 ,tpr:  0.333333333333
threshold:  0.115555496 ,cutoff:  0.662458135498 ,fpr:  0.00379637618637 ,tpr:  0.337552742616
threshold:  0.11492681 ,cutoff:  0.662459146884 ,fpr:  0.00396893874029 ,tpr:  0.337552742616
threshold:  0.114913361 ,cutoff:  0.662460203219 ,fpr:  0.00414150129422 ,tpr:  0.337552742616
threshold:  0.114853391 ,cutoff:  0.662461304502 ,fpr:  0.00431406384814 ,tpr:  0.337552742616
threshold:  0.114768331 ,cutoff:  0.662462450734 ,fpr:  0.00448662640207 ,tpr:  0.337552742616
threshold:  0.114365112 ,cutoff:  0.658243138842 ,fpr:  0.00448662640207 ,tpr:  0.341772151899
threshold:  0.11433335 ,cutoff:  0.658244337657 ,fpr:  0.004659188956 ,tpr:  0.341772151899
threshold:  0.114101628 ,cutoff:  0.658245581708 ,fpr:  0.00483175150992 ,tpr:  0.341772151899
threshold:  0.113993521 ,cutoff:  0.654026286833 ,fpr:  0.00483175150992 ,tpr:  0.345991561181
threshold:  0.113812873 ,cutoff:  0.649806993443 ,fpr:  0.00483175150992 ,tpr:  0.350210970464
threshold:  0.113811811 ,cutoff:  0.645587701568 ,fpr:  0.00483175150992 ,tpr:  0.354430379747
threshold:  0.113433305 ,cutoff:  0.641368411238 ,fpr:  0.00483175150992 ,tpr:  0.35864978903
threshold:  0.113408562 ,cutoff:  0.637149122484 ,fpr:  0.00483175150992 ,tpr:  0.362869198312
threshold:  0.113346601 ,cutoff:  0.63715045446 ,fpr:  0.00500431406385 ,tpr:  0.362869198312
threshold:  0.113239139 ,cutoff:  0.637151833169 ,fpr:  0.00517687661777 ,tpr:  0.362869198312
threshold:  0.113158287 ,cutoff:  0.632932564092 ,fpr:  0.00517687661777 ,tpr:  0.367088607595
threshold:  0.112348554 ,cutoff:  0.628713296896 ,fpr:  0.00517687661777 ,tpr:  0.371308016878
threshold:  0.112175057 ,cutoff:  0.62871474147 ,fpr:  0.0053494391717 ,tpr:  0.371308016878
threshold:  0.112126843 ,cutoff:  0.624495485954 ,fpr:  0.0053494391717 ,tpr:  0.37552742616
threshold:  0.111774304 ,cutoff:  0.620276232531 ,fpr:  0.0053494391717 ,tpr:  0.379746835443
threshold:  0.111249553 ,cutoff:  0.620277744761 ,fpr:  0.00552200172563 ,tpr:  0.379746835443
threshold:  0.111101825 ,cutoff:  0.616058503829 ,fpr:  0.00552200172563 ,tpr:  0.383966244726
threshold:  0.110676069 ,cutoff:  0.611839265219 ,fpr:  0.00552200172563 ,tpr:  0.388185654008
threshold:  0.110653441 ,cutoff:  0.60762002898 ,fpr:  0.00552200172563 ,tpr:  0.392405063291
threshold:  0.110340469 ,cutoff:  0.60340079516 ,fpr:  0.00552200172563 ,tpr:  0.396624472574
threshold:  0.110332243 ,cutoff:  0.599181563812 ,fpr:  0.00552200172563 ,tpr:  0.400843881857
threshold:  0.110324167 ,cutoff:  0.599183178979 ,fpr:  0.00569456427955 ,tpr:  0.400843881857
threshold:  0.110298321 ,cutoff:  0.599184843839 ,fpr:  0.00586712683348 ,tpr:  0.400843881857
threshold:  0.109944639 ,cutoff:  0.594965638274 ,fpr:  0.00586712683348 ,tpr:  0.405063291139
threshold:  0.109841826 ,cutoff:  0.59074643562 ,fpr:  0.00586712683348 ,tpr:  0.409282700422
threshold:  0.109727273 ,cutoff:  0.586527235939 ,fpr:  0.00586712683348 ,tpr:  0.413502109705
threshold:  0.109554399 ,cutoff:  0.582308039295 ,fpr:  0.00586712683348 ,tpr:  0.417721518987
threshold:  0.109231148 ,cutoff:  0.578088845755 ,fpr:  0.00586712683348 ,tpr:  0.42194092827
threshold:  0.10875294 ,cutoff:  0.573869655388 ,fpr:  0.00586712683348 ,tpr:  0.426160337553
threshold:  0.108505455 ,cutoff:  0.573871445574 ,fpr:  0.0060396893874 ,tpr:  0.426160337553
threshold:  0.108378506 ,cutoff:  0.569652271709 ,fpr:  0.0060396893874 ,tpr:  0.430379746835
